Project Name,Latitude,Longitude,Google Maps URL,Micromarket Name
Casagrand Orlena,13.0435991,77.6328433,"https://www.google.com/maps/place/Casagrand+Orlena/@13.0435991,77.6328433,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae176371913c27:0xa07cc737b11dbc44!8m2!3d13.0435939!4d77.6354182!16s%2Fg%2F11rw_mx6h4?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Hennur
Elegant Terraces,12.9300185,77.523881,"https://www.google.com/maps/place/Elegant+Terraces/@12.9300185,77.523881,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae3f004653496f:0xfb1bc23af98e0b20!8m2!3d12.9300133!4d77.5264559!16s%2Fg%2F11vz5m30mg?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Rajarajeshwari Nagar
Golden Pearl,12.9147373,77.5279216,"https://www.google.com/maps/search/Golden+Pearl,+Bengaluru,+Karnataka,+India/@12.9147373,77.5279216,11z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Rajarajeshwari Nagar
Atoms Silverwood,13.2009062,77.5436118,"https://www.google.com/maps/place/Atmos+Silverwoods+Villas/@13.2009062,77.5436118,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae21a13b07ce21:0x5a31856d952f1f75!8m2!3d13.200901!4d77.5461867!16s%2Fg%2F11v43r2hx0?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Rajanukunte
Mirabelle,13.0504059,77.6224812,"https://www.google.com/maps/place/Lodha+Mirabelle/@13.0504059,77.6224812,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae17d1f399b41f:0x9e6211cae3335ba3!8m2!3d13.0504007!4d77.6250561!16s%2Fg%2F11vc6blzl4?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Nagavara
Preeti Iksa Ville,13.1808861,77.6203166,"https://www.google.com/maps/place/Preeti+Iksa+Ville/@13.1808861,77.6203166,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1f50b0d79295:0xbdfba4d1df1a5c5c!8m2!3d13.1808809!4d77.6228915!16s%2Fg%2F11smqjvv1w?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Bagaluru
Fairmont at Brigade Orchards,13.2289543,77.7165459,"https://www.google.com/maps/place/Fairmont+at+Brigade+Orchards/@13.2289543,77.7165459,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1d6fdb13935b:0x86c811564dbb3002!8m2!3d13.2289491!4d77.7191208!16s%2Fg%2F11j5rpccqc?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Devanahalli
The Imperial Address,12.7409373,77.7063005,"https://www.google.com/maps/place/The+Imperial+Address/@12.7409373,77.7063005,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae6f6160977c4d:0x693f0c5bfbd52c0e!8m2!3d12.7409321!4d77.7088754!16s%2Fg%2F11l9qpdlgh?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Anekal
Palm Springs,12.9451135,77.5102952,"https://www.google.com/maps/search/Palm+Springs,+Bengaluru,+Karnataka,+India/@12.9451135,77.5102952,11z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Nagarabhavi
KNS Billore,13.2323644,77.5422235,"https://www.google.com/maps/place/KNS+Billore/@13.2323644,77.5422235,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae217f691c07c5:0x9590e490fc5bbd95!8m2!3d13.2323592!4d77.5447984!16s%2Fg%2F11w2fjb16t?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Doddaballapura
SNN Raj Serenity,12.8589867,77.6117164,"https://www.google.com/maps/place/SNN+Raj+Serenity,+Suraksha+nagar,+Yelenahalli,+Akshayanagar,+Bengaluru,+Karnataka+560076/@12.8589867,77.6117164,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae6b2151f6f5ed:0x53ad8d5c872815ad!8m2!3d12.8589815!4d77.6142913!16s%2Fg%2F12hll3_tl?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Akshayanagar
Engrace by Modern Spaces,12.8632749,77.7536871,"https://www.google.com/maps/place/Engrace+1+by+Modern+Spaaces/@12.8632749,77.7536871,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae7331279486b3:0xd451b25415bce506!8m2!3d12.8632697!4d77.756262!16s%2Fg%2F11kk61g79b?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Sarjapura
Brigade Insignia,13.1103693,77.6041328,"https://www.google.com/maps/place/Brigade+Insignia/@13.1103693,77.6041328,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae19c9f133f78f:0xa961591066710662!8m2!3d13.1103641!4d77.6067077!16s%2Fg%2F11vlbp9df1?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Yelahanka
Prestige Dew Drops,13.1831499,77.5538747,"https://www.google.com/maps/place/Prestige+Dew+Drops/@13.1831499,77.5538747,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae2126fb1fe12d:0x7cf2d6aa92f2a7a8!8m2!3d13.1831447!4d77.5564496!16s%2Fg%2F11t6tnp9py?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Rajanukunte
Svamitva Terravana,12.7443215,77.4840069,"https://www.google.com/maps/place/Svamitva+Terravana/@12.7443215,77.4840069,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae43ecce40b8f5:0xc1c4b88234a924b2!8m2!3d12.7443163!4d77.4865818!16s%2Fg%2F11kz5rrghw?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Bangalore South
Provident Park Square,12.8638467,77.5381019,"https://www.google.com/maps/place/Provident+park+square,+3D+-+303,+near+Paramount+Gardens,+Judicial+Layout+2nd+Phase,+Talaghattapura,+Bengaluru,+Karnataka+560062/@12.8638467,77.5381019,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae400d68e76e49:0xf316bc0ef8e0a58c!8m2!3d12.8638415!4d77.5406768!16s%2Fg%2F11vc6tbnjm?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Banashankari 6th Stage
Oakville,12.9024916,77.5174958,"https://www.google.com/maps/place/Oakville/@12.9024916,77.5174958,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae3f70bbe7fe6b:0xe9667ea9d4c92a26!8m2!3d12.9024864!4d77.5200707!16s%2Fg%2F11v44_q8mt?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Banashankari 6th Stage
Mittal Elanza,13.1034749,77.6189446,"https://www.google.com/maps/place/Mittal+Elanza/@13.1034749,77.6189446,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae19a78fe121df:0x6798275f8e8e29d1!8m2!3d13.1034697!4d77.6215195!16s%2Fg%2F11c1mm6n07?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Yelahanka
DS Max Sky Sanjeevini,13.0921598,77.4388881,"https://www.google.com/maps/place/DS+MAX+SkySanjeevini/@13.0921598,77.4388881,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae257de1a38209:0x7e686d4b649efdc6!8m2!3d13.0921546!4d77.441463!16s%2Fg%2F11kb589khw?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Vaderahalli
